"name","dsID","region","period","value","is_number","source","units","last_updated","last_scraped","indID"
"Asylum seekers by Country of Origin","unhcr-popstats","EGY","2011","18938",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EGY","2008","14680",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EGY","2009","13443",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EGY","2010","14303",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ERI","2001","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ERI","2002","5",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ERI","2003","200",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ERI","2004","449",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ERI","2005","1591",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ERI","2006","2004",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ERI","2007","2019",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ERI","2008","130",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EGY","2007","14885",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ERI","2010","137",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EGY","2012","16952",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EGY","2013","23105",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ERI","2000","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ESP","2000","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ESP","2001","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ESP","2002","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ESP","2003","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ESP","2004","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ESP","2005","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ESP","2006","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ESP","2007","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
