value,period,region,indID,dsID,source,is_number
3,2000,AFG,RW002,reliefweb,ReliefWeb,1.0
4,2001,AFG,RW002,reliefweb,ReliefWeb,1.0
5,2002,AFG,RW002,reliefweb,ReliefWeb,1.0
2,2003,AFG,RW002,reliefweb,ReliefWeb,1.0
3,2004,AFG,RW002,reliefweb,ReliefWeb,1.0
6,2005,AFG,RW002,reliefweb,ReliefWeb,1.0
5,2006,AFG,RW002,reliefweb,ReliefWeb,1.0
3,2007,AFG,RW002,reliefweb,ReliefWeb,1.0
1,2008,AFG,RW002,reliefweb,ReliefWeb,1.0
5,2009,AFG,RW002,reliefweb,ReliefWeb,1.0
4,2010,AFG,RW002,reliefweb,ReliefWeb,1.0
2,2011,AFG,RW002,reliefweb,ReliefWeb,1.0
5,2012,AFG,RW002,reliefweb,ReliefWeb,1.0
3,2013,AFG,RW002,reliefweb,ReliefWeb,1.0
0,2000,BDI,RW002,reliefweb,ReliefWeb,1.0
0,2001,BDI,RW002,reliefweb,ReliefWeb,1.0
0,2002,BDI,RW002,reliefweb,ReliefWeb,1.0
0,2003,BDI,RW002,reliefweb,ReliefWeb,1.0
0,2004,BDI,RW002,reliefweb,ReliefWeb,1.0
1,2005,BDI,RW002,reliefweb,ReliefWeb,1.0
1,2006,BDI,RW002,reliefweb,ReliefWeb,1.0
0,2007,BDI,RW002,reliefweb,ReliefWeb,1.0
1,2008,BDI,RW002,reliefweb,ReliefWeb,1.0
1,2009,BDI,RW002,reliefweb,ReliefWeb,1.0
1,2010,BDI,RW002,reliefweb,ReliefWeb,1.0
2,2011,BDI,RW002,reliefweb,ReliefWeb,1.0
1,2012,BDI,RW002,reliefweb,ReliefWeb,1.0
0,2013,BDI,RW002,reliefweb,ReliefWeb,1.0
0,2000,BEN,RW002,reliefweb,ReliefWeb,1.0
0,2001,BEN,RW002,reliefweb,ReliefWeb,1.0
0,2002,BEN,RW002,reliefweb,ReliefWeb,1.0
0,2003,BEN,RW002,reliefweb,ReliefWeb,1.0
0,2004,BEN,RW002,reliefweb,ReliefWeb,1.0
0,2005,BEN,RW002,reliefweb,ReliefWeb,1.0
0,2006,BEN,RW002,reliefweb,ReliefWeb,1.0
2,2007,BEN,RW002,reliefweb,ReliefWeb,1.0
1,2008,BEN,RW002,reliefweb,ReliefWeb,1.0
3,2009,BEN,RW002,reliefweb,ReliefWeb,1.0
1,2010,BEN,RW002,reliefweb,ReliefWeb,1.0
1,2011,BEN,RW002,reliefweb,ReliefWeb,1.0
3,2012,BEN,RW002,reliefweb,ReliefWeb,1.0
3,2013,BEN,RW002,reliefweb,ReliefWeb,1.0
0,2000,BFA,RW002,reliefweb,ReliefWeb,1.0
0,2001,BFA,RW002,reliefweb,ReliefWeb,1.0
0,2002,BFA,RW002,reliefweb,ReliefWeb,1.0
1,2003,BFA,RW002,reliefweb,ReliefWeb,1.0
0,2004,BFA,RW002,reliefweb,ReliefWeb,1.0
0,2005,BFA,RW002,reliefweb,ReliefWeb,1.0
1,2006,BFA,RW002,reliefweb,ReliefWeb,1.0
2,2007,BFA,RW002,reliefweb,ReliefWeb,1.0
1,2008,BFA,RW002,reliefweb,ReliefWeb,1.0
1,2009,BFA,RW002,reliefweb,ReliefWeb,1.0
0,2010,BFA,RW002,reliefweb,ReliefWeb,1.0
0,2011,BFA,RW002,reliefweb,ReliefWeb,1.0
1,2012,BFA,RW002,reliefweb,ReliefWeb,1.0
1,2013,BFA,RW002,reliefweb,ReliefWeb,1.0
4,2000,BGD,RW002,reliefweb,ReliefWeb,1.0
0,2001,BGD,RW002,reliefweb,ReliefWeb,1.0
4,2002,BGD,RW002,reliefweb,ReliefWeb,1.0
4,2003,BGD,RW002,reliefweb,ReliefWeb,1.0
2,2004,BGD,RW002,reliefweb,ReliefWeb,1.0
3,2005,BGD,RW002,reliefweb,ReliefWeb,1.0
4,2006,BGD,RW002,reliefweb,ReliefWeb,1.0
6,2007,BGD,RW002,reliefweb,ReliefWeb,1.0
2,2008,BGD,RW002,reliefweb,ReliefWeb,1.0
5,2009,BGD,RW002,reliefweb,ReliefWeb,1.0
4,2010,BGD,RW002,reliefweb,ReliefWeb,1.0
3,2011,BGD,RW002,reliefweb,ReliefWeb,1.0
2,2012,BGD,RW002,reliefweb,ReliefWeb,1.0
2,2013,BGD,RW002,reliefweb,ReliefWeb,1.0
1,2000,BOL,RW002,reliefweb,ReliefWeb,1.0
1,2001,BOL,RW002,reliefweb,ReliefWeb,1.0
3,2002,BOL,RW002,reliefweb,ReliefWeb,1.0
2,2003,BOL,RW002,reliefweb,ReliefWeb,1.0
2,2004,BOL,RW002,reliefweb,ReliefWeb,1.0
1,2005,BOL,RW002,reliefweb,ReliefWeb,1.0
1,2006,BOL,RW002,reliefweb,ReliefWeb,1.0
2,2007,BOL,RW002,reliefweb,ReliefWeb,1.0
2,2008,BOL,RW002,reliefweb,ReliefWeb,1.0
2,2009,BOL,RW002,reliefweb,ReliefWeb,1.0
4,2010,BOL,RW002,reliefweb,ReliefWeb,1.0
2,2011,BOL,RW002,reliefweb,ReliefWeb,1.0
2,2012,BOL,RW002,reliefweb,ReliefWeb,1.0
3,2013,BOL,RW002,reliefweb,ReliefWeb,1.0
2,2000,BWA,RW002,reliefweb,ReliefWeb,1.0
1,2001,BWA,RW002,reliefweb,ReliefWeb,1.0
0,2002,BWA,RW002,reliefweb,ReliefWeb,1.0
0,2003,BWA,RW002,reliefweb,ReliefWeb,1.0
0,2004,BWA,RW002,reliefweb,ReliefWeb,1.0
0,2005,BWA,RW002,reliefweb,ReliefWeb,1.0
0,2006,BWA,RW002,reliefweb,ReliefWeb,1.0
0,2007,BWA,RW002,reliefweb,ReliefWeb,1.0
0,2008,BWA,RW002,reliefweb,ReliefWeb,1.0
1,2009,BWA,RW002,reliefweb,ReliefWeb,1.0
0,2010,BWA,RW002,reliefweb,ReliefWeb,1.0
0,2011,BWA,RW002,reliefweb,ReliefWeb,1.0
0,2012,BWA,RW002,reliefweb,ReliefWeb,1.0
1,2013,BWA,RW002,reliefweb,ReliefWeb,1.0
1,2000,CAF,RW002,reliefweb,ReliefWeb,1.0
0,2001,CAF,RW002,reliefweb,ReliefWeb,1.0
0,2002,CAF,RW002,reliefweb,ReliefWeb,1.0
0,2003,CAF,RW002,reliefweb,ReliefWeb,1.0
